"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","< VALUE >","-3DB BANDWIDTH","ACCESS TIME","ACCURACY","ADDRESS BUS WIDTH","APPROVALS","AVAILABILITY","AVERAGE RECTIFIED CURRENT","BANDWIDTH","BODY MATERIAL","BODY PLATING","BREAKDOWN VOLTAGE","BUILT_BY","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CLAMPING CURRENT","CLAMPING VOLTAGE","COIL CURRENT","COIL POWER","COIL RESISTANCE","COIL VOLTAGE (DC)","COLLECTOR BASE VOLTAGE (VCBO)","COLLECTOR EMITTER BREAKDOWN VOLTAGE","COLLECTOR EMITTER SATURATION VOLTAGE","COLLECTOR EMITTER VOLTAGE (VCEO)","COLOR","COMMENT","COMMENT_1","COMMON MODE REJECTION RATIO","COMPONENTLINK10DESCRIPTION","COMPONENTLINK10URL","COMPONENTLINK11DESCRIPTION","COMPONENTLINK11URL","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","COMPONENTLINK8DESCRIPTION","COMPONENTLINK8URL","COMPONENTLINK9DESCRIPTION","COMPONENTLINK9URL","COMPOSITION","CONNECTOR TYPE","CONTACT CURRENT RATING","CONTACT GENDER","CONTACT MATERIAL","CONTACT MATING LENGTH","CONTACT PLATING","CONTACT RESISTANCE","CONTACT VOLTAGE RATING (AC)","CONTINUOUS DRAIN CURRENT (ID)","COPYRIGHT","CORE ARCHITECTURE","CORE MATERIAL","CURRENT","CURRENT RATING","CURRENT SENSING","CURRENT TRANSFER RATIO","DATA BUS WIDTH","DATA RATE","DATASHEETVERSION","DC CURRENT","DC RESISTANCE (DCR)","DENSITY","DEPTH","DEVICEDESIGNATOR","DEVICENUMBERING","DEVICESINPACKAGE","DEVICESINVIEW","DIAMETER","DIELECTRIC","DIELECTRIC MATERIAL","DIGI-KEY_PART_NUMBER","DIGI-KEY_PURCHASE_URL","DIGIKEY-PURCHASE-URL","DIRECTION","DISSIPATION FACTOR","DOMINANT WAVELENGTH","DRAIN TO SOURCE BREAKDOWN VOLTAGE","DRAIN TO SOURCE RESISTANCE","DRAIN TO SOURCE VOLTAGE (VDSS)","DROPOUT VOLTAGE","DUAL SUPPLY VOLTAGE","EFFICIENCY","ELEMENT CONFIGURATION","ELV","EMITTER BASE VOLTAGE (VEBO)","ENERGY","ESD PROTECTION","ESR (EQUIVALENT SERIES RESISTANCE)","EU_ROHS_COMPLIANCE","EVALUATION KIT","FALL TIME","FASTENING TYPE","FEATURES","FLAMMABILITY RATING","FORWARD CURRENT","FORWARD VOLTAGE","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","FUSE CURRENT","GAIN BANDWIDTH PRODUCT","GATE TO SOURCE VOLTAGE (VGS)","GENDER","GOVERNMENT QUALIFIED","HALOGEN FREE","HEAVY DUTY","HEIGHT","HEIGHT - SEATED (MAX)","HFE MIN","HIGH LEVEL OUTPUT CURRENT","HOLD CURRENT","HOLE DIAMETER","HOUSING COLOR","HOUSING MATERIAL","ILLUMINATION COLOR","INDUCTANCE","INDUCTANCE TOLERANCE","INPUT BIAS CURRENT","INPUT CAPACITANCE","INPUT CURRENT","INPUT OFFSET VOLTAGE (VOS)","INSIDE DIAMETER","INSULATED WIRE SUPPORT","INSULATION","INSULATION DIAMETER","INSULATION MATERIAL","INSULATION RESISTANCE","INTERFACE","ISHETEROGENEOUS","ISOLATION VOLTAGE","LATESTREVISIONDATE","LATESTREVISIONNOTE","LEAD DIAMETER","LEAD FREE","LEAD LENGTH","LEAD PITCH","LEAKAGE CURRENT","LENGTH","LENS COLOR","LENS STYLE","LIFE (HOURS)","LINEARITY","LOAD CAPACITANCE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","LUMINOUS INTENSITY","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER_PART_NUMBER","MATERIAL","MATERIAL THICKNESS","MAX BREAKDOWN VOLTAGE","MAX COLLECTOR CURRENT","MAX CURRENT RATING","MAX DC CURRENT","MAX DUAL SUPPLY VOLTAGE","MAX FORWARD SURGE CURRENT (IFSM)","MAX FREQUENCY","MAX INPUT CURRENT","MAX INPUT VOLTAGE","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX OUTPUT VOLTAGE","MAX POWER DISSIPATION","MAX REPETITIVE REVERSE VOLTAGE (VRRM)","MAX RESET THRESHOLD VOLTAGE","MAX REVERSE VOLTAGE (DC)","MAX SUPPLY CURRENT","MAX SUPPLY VOLTAGE","MAX SURGE CURRENT","MAX VARISTOR VOLTAGE","MAX VOLTAGE RATING (AC)","MAX VOLTAGE RATING (DC)","MEMORY SIZE","MEMORY TYPE","MF","MILITARY STANDARD","MIN DUAL SUPPLY VOLTAGE","MIN INPUT VOLTAGE","MIN OPERATING TEMPERATURE","MIN OUTPUT VOLTAGE","MIN RESET THRESHOLD VOLTAGE","MIN SUPPLY VOLTAGE","MIN VARISTOR VOLTAGE","MOUNT","MOUSER-PURCHASE-URL","MP","NATURAL THERMAL RESISTANCE","NOMINAL INPUT VOLTAGE","NOMINAL SUPPLY CURRENT","NOMINAL VGS","NUMBER OF A/D CONVERTERS","NUMBER OF ADC CHANNELS","NUMBER OF AMPLIFIERS","NUMBER OF BITS","NUMBER OF BITS PER ELEMENT","NUMBER OF CELLS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF CONTACTS","NUMBER OF CORES PER JACK","NUMBER OF DRIVERS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF HOLES","NUMBER OF I/OS","NUMBER OF I2C CHANNELS","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF LEVELS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","NUMBER OF POLES","NUMBER OF PORTS","NUMBER OF POSITIONS","NUMBER OF POSITIONS PER LEVEL","NUMBER OF PROGRAMMABLE I/O","NUMBER OF PWM CHANNELS","NUMBER OF RECEIVERS","NUMBER OF ROWS","NUMBER OF SPI CHANNELS","NUMBER OF TERMINATIONS","NUMBER OF TIMERS/COUNTERS","NUMBER OF TRANSCEIVERS","NUMBER OF TRANSMITTERS","NUMBER OF UART CHANNELS","NUMBER OF VOLTAGES MONITORED","ON-STATE RESISTANCE","OPERATE TIME","OPERATING SUPPLY CURRENT","OPERATING SUPPLY VOLTAGE","ORIENTATION","ORIGINALSYMBOLORIGIN","OSCILLATOR TYPE","OUTPUT CONFIGURATION","OUTPUT CURRENT","OUTPUT CURRENT PER CHANNEL","OUTPUT TYPE","OUTPUT VOLTAGE","OUTSIDE DIAMETER","OVERVOLTAGE THRESHOLD","PACKAGE","PACKAGE QUANTITY","PACKAGEDESCRIPTION","PACKAGENAME","PACKAGEREFERENCE","PACKAGEVERSION","PACKAGING","PANEL MOUNT RETENTION","PCB MOUNT RETENTION","PCB MOUNTING ORIENTATION","PEAK NON-REPETITIVE SURGE CURRENT","PEAK PULSE POWER","PEAK REVERSE CURRENT","PERIPHERALS","PITCH","PLATING","PLATING THICKNESS","POLARITY","POLARIZED","POWER DISSIPATION","POWER RATING","POWER SUPPLY REJECTION RATIO (PSRR)","PRICE","PRICING 1","PRICING 2","PROPAGATION DELAY","PUBLISHED","PUBLISHER","QUIESCENT CURRENT","RADIATION HARDENING","RAM SIZE","RDS ON MAX","REACH SVHC","RECOVERY TIME","REFDES","RESET","RESET TIMEOUT","RESISTANCE","RESPONSE TIME","REVERSE BREAKDOWN VOLTAGE","REVERSE RECOVERY TIME","REVERSE VOLTAGE","RIPPLE CURRENT","RISE TIME","RJ45","RMS CURRENT (IRMS)","ROW SPACING","SATURATION CURRENT","SCHMITT TRIGGER INPUT","SEALABLE","SELF RESONANT FREQUENCY","SENSITIVITY","SHIELDING","SHROUDED","SIMPLEX/DUPLEX","SLEW RATE","SNAPEDA_LINK","STOCK 1","STOCK 2","STUD DIAMETER","SUPPLIER 1","SUPPLIER 2","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLY TYPE","SWITCHING FREQUENCY","SYNCHRONOUS RECTIFIER","TE_PURCHASE_URL","TEMPERATURE COEFFICIENT","TERMINATION","TEST CURRENT","TEST FREQUENCY","THICKNESS","THRESHOLD VOLTAGE","THROW CONFIGURATION","TIME FORMAT","TOLERANCE","TONGUE THICKNESS","TOPOLOGY","TRANSITION FREQUENCY","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","TYPE","UNDERVOLTAGE THRESHOLD","UNITY GAIN BANDWIDTH PRODUCT","VALUE","VARISTOR VOLTAGE","VENDOR","VIEWING ANGLE","VOLTAGE","VOLTAGE GAIN","VOLTAGE RATING","VOLTAGE RATING (AC)","VOLTAGE RATING (DC)","WATCHDOG TIMER","WEIGHT","WIDTH","WIRE GAUGE (MAX)","WIRE GAUGE (MIN)","WIRE/CABLE DIAMETER","WIRE/CABLE GAUGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"MIC4575-5.0WU-TR","TO-263-5-M","","","","","","","","","","","","","","EMA_Jessica","","","","TO-263-5","","","","","","","","","","","","Part Number: MIC4575-5.0WU-TR","","","","","","","http://www.micrel.com/_PDF/mic4575.pdf?src-supplier=Future+Electronics","http://www.micrel.com/_PDF/mic4575.pdf?src-supplier=Future+Electronics","http://www.micrel.com/_PDF/mic4575.pdf?src-supplier=Digi-Key","http://www.micrel.com/_PDF/mic4575.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","","","","","","","","","","Microchip Micrel","MIC4575-5.0WU-TR","MIC4575-5.0WU-TR","","","","","","","","","","","24V","85°C","1A","","","","","","","","","","","","","","","","","4V","-40°C","5V","","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","Positive","1.7A","","Fixed","5V","","","","750","","","","","Tape and Reel","","","","","","","","","","","","","","","","","750=2.28, 5250=1.425 (USD)","","","","","","","","","","","RefDes","","","","","","","","","","","","","","","","","","","","","","","0","","","Digi-Key","","576-1549-2-ND","","","200kHz","No","","","","","","","","","","","","Buck-Boost","","","","DEV","","","Value","","Microchip","","","","","","","","","","","","","","","U2","Regulador 5V"
"MMBT2222ALT1G","SOT-23-M","","","","","","","","","","","","","","","","","","SOT-23-3","","","","","","","75V","40V","1V","40V","","","","","","","","","Manufacturer Link","http://www.fairchildsemi.com/","Datasheet","http://www.fairchildsemi.com/ds/2N%2F2N3904.pdf","http://www.onsemi.com/pub/Collateral/MMBT2222LT1-D.PDF?src-supplier=Future+Electronics","http://www.onsemi.com/pub/Collateral/MMBT2222LT1-D.PDF?src-supplier=Future+Electronics","https://www.verical.com/server-webapp/html/getDatasheet?partID=82691&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=82691&src-supplier=Verical","http://www.onsemi.com/pub/Collateral/MMBT2222LT1-D.PDF?src-supplier=Digi-Key","http://www.onsemi.com/pub/Collateral/MMBT2222LT1-D.PDF?src-supplier=Digi-Key","http://www.farnell.com/datasheets/2353900.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/2353900.pdf?src-supplier=Element14","https://www.alliedelec.com/m/d/3e1498de1daf94616fa6373a99352057.pdf?src-supplier=Allied+Electronics","https://www.alliedelec.com/m/d/3e1498de1daf94616fa6373a99352057.pdf?src-supplier=Allied+Electronics","http://www.onsemi.com/pub/Collateral/MMBT2222LT1-D.PDF?src-supplier=Avnet","http://www.onsemi.com/pub/Collateral/MMBT2222LT1-D.PDF?src-supplier=Avnet","http://www.onsemi.com/pub/Collateral/MMBT2222LT1-D.PDF?src-supplier=Avnet+Europe","http://www.onsemi.com/pub/Collateral/MMBT2222LT1-D.PDF?src-supplier=Avnet+Europe","","","","","","","Tin,Matte","","","","","","","","600mA","","","","","1997","","","","","","","","","","","","","","","","","","","","","","","","Single","","6V","","","","","","","","","","","","300MHz","","","","300MHz","","","","","","0.94mm","","100","","","","","","","","","","","","","","","","","","","","","","15-Jan-2003","PCB Footprint 'BCY-W3/D4.7' replaced","","Lead Free","","","","2.9mm","","","","","","","","","ON Semiconductor","MMBT2222ALT1G","","","","40V","600mA","","","","","300MHz","","","150°C","","","300mW","","","","","","","","","","","","","","","","-55°C","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","TO, Flat Index; 3 In-Line, Axial Leads; Body Dia. 4.5mm; Leads 0.51 x 0.48 mm (max)","","TO-92A","Sep-1998","Tape and Reel","","","","","","","","","","","NPN","","300mW","","","","1=0.14, 10=0.126, 100=0.0527, 500=0.04138, 1000=0.02874 (USD)","","","8-Jun-2000","Altium Limited","","No","","","No SVHC","","","","","","","","","","","","","","","","","","","","","","","","","444040","","","Digi-Key","","MMBT2222ALT1GOSDKR-ND","","","","","","","","","","","","","","","","","300MHz","","","General Purpose","","","","","","","","","","","40V","","","1.3mm","","","","","","Q?","Transistor bipolar (BJT) NPN 40V 600mA 300MHz 225mW Montaje en superficie SOT-23"
"MOSFET-N","TO263 - mosfet","","","","","","","","","","","","","","","","","","D2PAK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tin,Matte","","","33A","","","","","","","","","","","","","","","","","","","","","","","","","","","","100V","44mR","100V","","","","Single","","","","","","","","","","","","","","","","","","","20V","","","Halogen Free","","0.19inch","","","","","","","","","","","","1.96nF","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","Contains Lead","","","","0.42inch","","","","","","","","","Infineon","IRF540NSTRLPBF","","","","","","","","100V","","","","","175°C","","","130W","","","","","","","","","","","","","","","","-55°C","","","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TO, Flat Index; 3 In-Line, Axial Leads; Body Dia. 4.6mm; Lead Dia. 0.5 mm (max)","","E3","1995/1996","Tape and Reel","","","","","","","","","","","","","130W","","","","1=1.37, 10=1.223, 100=0.8706 (USD)","","","8-Jun-2000","Altium Limited","","","","44mR","No SVHC","","","","","","","","","","","35ns","","","","","","","","","","","","","","8495","","","Digi-Key","","IRF540NSTRLPBFDKR-ND","","","","","","","","","","","4V","","","","","","","39ns","11ns","","","","","","","","","","","","","","","0.38inch","","","","","","Q?","Canal N Montaje en superficie 100V 33 A (Tc) 130W (Tc) D2PAK"
"MOSFET-P","TO263 - mosfet","","","","","","","","","","","","","","","","","","D2PAK","","","","","","","","","","","","","","","","","","","https://www.infineon.com/dgdl/irf9540nspbf.pdf?fileId=5546d462533600a401535611d92a1dca&src-supplier=Digi-Key","https://www.infineon.com/dgdl/irf9540nspbf.pdf?fileId=5546d462533600a401535611d92a1dca&src-supplier=Digi-Key","http://www.irf.com/product-info/datasheets/data/irf9540ns.pdf?src-supplier=Element14","http://www.irf.com/product-info/datasheets/data/irf9540ns.pdf?src-supplier=Element14","http://www.irf.com/product-info/datasheets/data/irf9540nspbf.pdf?src-supplier=Digi-Key","http://www.irf.com/product-info/datasheets/data/irf9540nspbf.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","23A","","","","","","","","","","","","","","","","","","","","","","","","","","","","-100V","117mR","100V","","100V","","Single","","","","","","","","51ns","","","","","","","","","","","20V","","","","","4.83mm","","","","","","","","","","","","1.45nF","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","Lead Free","","","","10.67mm","","","","","","","","","International Rectifier","IRF9540NSTRLPBF","","","","","","","","","","","","","175°C","","","3.1W","","","","","","","","","","","","","","","","-55°C","","","","","Surface Mount","","","","","","4V","","","","","","","","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","117mR","","","","","","","","","","","","","","","1","TO, Flat Index; 3 In-Line, Axial Leads; Body Dia. 4.6mm; Lead Dia. 0.5 mm (max)","","E3","1995/1996","Tape and Reel","","","","","","","","","","","","","3.8W","","","","1=1.86, 10=1.645, 100=1.3003, 500=1.00838, 1000=0.79609 (USD)","","","8-Jun-2000","Altium Limited","","No","","117mR","No SVHC","","","","","","","","","","","67ns","","","","","","","","","","","","","","0","","","Digi-Key","","IRF9540NSPBF-ND","","","","","","","SMD/SMT","","","","4V","","","","","","","40ns","13ns","","","","","","","","","","","","","","","9.65mm","","","","","","Q?","P-Channel MOSFET"
"Opto TRIAC","SOP127P695X210-4N","","","","","","","UR","","","","","","","","","","","SMD/SMT","","","","","","","","","","","","","","","","","","","https://www.verical.com/server-webapp/html/getDatasheet?partID=131175&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=131175&src-supplier=Verical","https://www.fairchildsemi.com/datasheets/FO/FODM3022_NF098.pdf?src-supplier=Avnet+Europe","https://www.fairchildsemi.com/datasheets/FO/FODM3022_NF098.pdf?src-supplier=Avnet+Europe","http://www.farnell.com/datasheets/2041448.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/2041448.pdf?src-supplier=Element14","","","","","","","","","","","","","","","","","","","Tin,Matte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60mA","1.2V","","","","","","","","","","","","","","","300uA","","","","","","","","","60mA","","","","","","","","","","3.75kV","17-Jul-2002","Re-released for DXP Platform.","","Lead Free","","","","","","","","","","","","","ON Semiconductor / Fairchild","FODM3053R2_NF098","","","","","","","","","","","","1.5V","100°C","70mA","600V","300mW","","","","","","","","","","","","","","","","-40°C","","","","","Surface Mount","","","","1.2V","","","","","","","","","1","","","","","1","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","70mA","","","600V","","","","1","SIP; 4 Leads; Body 10 x 11.5 x 7.5 mm (typ); Pitch 2.54 mm","","NPSIP4A","","Tape and Reel","","","","","","","","","","","","","300mW","","","","","","","24-Mar-1999","Altium Limited","","No","","","No SVHC","","","","","","","3V","","","","","","70mA","","","","","","","","","","","","0","","","Digi-Key","","FODM3053R2_NF098DKR-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.155g","","","","","","","U?","Opto-Triac"
"PIC18F66K22-IPT","QFP50P1200X1200X120-64N","","PIC18F66K22-I/PT","","","","","","","","","","","","EMA_UL_Team","","","","TQFP","","","","","","","","","","","","Value","","","","","","","http://ww1.microchip.com/downloads/en/DeviceDoc/39960d.pdf?src-supplier=Avnet","http://ww1.microchip.com/downloads/en/DeviceDoc/39960d.pdf?src-supplier=Avnet","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en548493&src-supplier=Digi-Key","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en548493&src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","","","","","PIC","","","","","","8b","","","","","","","A","Alpha","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64MHz","","","","","","","","","","1.05mm","","","","","","","","","","","","","","","","","","","","","I2C,SPI,UART,USART,LIN","False","","","","","","","","","10mm","","","","","","","","","Microchip","PIC18F66K22T-I/PT","PIC18F66K22-I/PT","","","","","","","","","64MHz","","","85°C","","","1W","","","","","5.5V","","","","","64KB","FLASH","","","","","-40°C","","","1.8V","","Surface Mount","","","","","","","","16","","","","","","","","","","","","","","2","","","","","","64","","","","","53","","","","2","","11","","","","","","","","","","(30000,20000)","","","","","","","","","","","","PIC18F66K22-I/PT","","","Tape and Reel","","","","","","","","","","","","","","","","","1=3.77, 25=3.45, 100=3.13 (USD)","","","","","","No","4KB","","","","","","","","","","","","","","","","","","","","","","","","","","","890","","","Digi-Key","","PIC18F66K22T-I/PTCT-ND","","","","","","","","","","","","","","","","","","","","","","","","","Microchip","","","","","","","Yes","","10mm","","","","","*","U?",""
"POT","POT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","R?",""
"REG_3.3V_1.5A","MP04A-M","","","","","","","","","","","","","","EMA_UL_Team","","","","","","","","","","","","","","","","ADP3339AKCZ-3.3-RL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LM3940IMPX-3.3/NOPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RefDes","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","ADP3339AKCZ-3.3-RLDKR-ND","","","","","","","","","","","","","","","","","","","","DEV","","","Value","","Texas Instruments","","","","","","","","","","","","","","*","U?","IC REG LINEAR 3.3V 1.5A SOT223-3"
"REG_3.3V_LM3940IMPX-3.3/N","MP04A","MP04A-M","","","","","","","","","","","","","EMA_UL_Team","","","","","","","","","","","","","","","","Part Number: LM3940IMPX-3.3/NOPB","","","","","","","LM3940","https://www.digikey.com/es/products/detail/texas-instruments/LM3940IMPX-3-3/3697375","","","","","","","","","","","","","","","","","","","","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LM3940IMPX-3.3/NOPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RefDes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DEV","","","Value","","Texas Instruments","","","","","","","","","","","","","","*","U?","IC REG LINEAR 3.3V 1A SOT223-4"
"REG_3.3V_LM3940IMPX-3.3/N_1","MP04A","MP04A-M","","","","","","","","","","","","","EMA_UL_Team","","","","","","","","","","","","","","","","Part Number: LM3940IMPX-3.3/NOPB","","","","","","","LM3940","https://www.digikey.com/es/products/detail/texas-instruments/LM3940IMPX-3-3/3697375","","","","","","","","","","","","","","","","","","","","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LM3940IMPX-3.3/NOPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RefDes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DEV","","","Value","","Texas Instruments","","","","","","","","","","","","","","*","U?","IC REG LINEAR 3.3V 1A SOT223-4"
"REG_3.3V_LM3940IMPX-3.3/N_2","MP04A","MP04A-M","","","","","","","","","","","","","EMA_UL_Team","","","","","","","","","","","","","","","","Part Number: LM3940IMPX-3.3/NOPB","","","","","","","LM3940","https://www.digikey.com/es/products/detail/texas-instruments/LM3940IMPX-3-3/3697375","","","","","","","","","","","","","","","","","","","","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LM3940IMPX-3.3/NOPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RefDes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DEV","","","Value","","Texas Instruments","","","","","","","","","","","","","","*","U?","IC REG LINEAR 3.3V 1A SOT223-4"
"REG_5V_MIC4575-5.0WU-TR","TO-263-5-M","","","","","","","","","","","","","","EMA_Jessica","","","","TO-263-5","","","","","","","","","","","","Part Number: MIC4575-5.0WU-TR","","","","","","","http://www.micrel.com/_PDF/mic4575.pdf?src-supplier=Future+Electronics","http://www.micrel.com/_PDF/mic4575.pdf?src-supplier=Future+Electronics","http://www.micrel.com/_PDF/mic4575.pdf?src-supplier=Digi-Key","http://www.micrel.com/_PDF/mic4575.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","","","","","","","","","","Microchip Micrel","MIC4575-5.0WU-TR","MIC4575-5.0WU-TR","","","","","","","","","","","24V","85°C","1A","","","","","","","","","","","","","","","","","4V","-40°C","5V","","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","Positive","1.7A","","Fixed","5V","","","","750","","","","","Tape and Reel","","","","","","","","","","","","","","","","","750=2.28, 5250=1.425 (USD)","","","","","","","","","","","RefDes","","","","","","","","","","","","","","","","","","","","","","","0","","","Digi-Key","","576-1549-2-ND","","","200kHz","No","","","","","","","","","","","","Buck-Boost","","","","DEV","","","Value","","Microchip","","","","","","","","","","","","","","*","U?","Regulador 5V"
"RES-0603","RES-0603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R6","RES-0603"
